sigungu,emd,region,active,dormant,closed_total,new_12m,closed_12m,net_12m,churn_12m,rooms,median_tenure
제주시,노형동,제주시 노형동,64,2,23,7,2,5,3.0,364,4.2
서귀포시,중문동,서귀포시 중문동,60,1,12,11,1,10,1.6,366,3.7
제주시,애월읍,제주시 애월읍,60,3,22,12,5,7,7.7,419,4.0
제주시,연동,제주시 연동,60,1,28,6,6,0,9.1,422,4.5
제주시,한림읍,제주시 한림읍,58,0,32,3,12,-9,17.1,372,4.1
제주시,일도이동,제주시 일도이동,57,2,19,6,4,2,6.6,331,4.0
제주시,이도이동,제주시 이도이동,55,1,28,6,3,3,5.2,385,4.4
제주시,한경면,제주시 한경면,49,1,22,7,5,2,9.3,350,3.3
서귀포시,남원읍,서귀포시 남원읍,48,1,23,7,8,-1,14.3,330,5.0
서귀포시,대정읍,서귀포시 대정읍,48,1,22,5,3,2,5.9,332,4.0
제주시,조천읍,제주시 조천읍,48,2,19,5,2,3,4.0,341,5.5
제주시,구좌읍,제주시 구좌읍,47,1,29,8,7,1,13.0,342,4.3
제주시,삼양동,제주시 삼양동,47,1,22,4,2,2,4.1,334,5.5
서귀포시,대륜동,서귀포시 대륜동,46,1,18,6,3,3,6.1,278,4.6
서귀포시,서홍동,서귀포시 서홍동,45,1,22,11,4,7,8.2,304,3.4
서귀포시,성산읍,서귀포시 성산읍,45,1,21,8,4,4,8.2,305,6.5
서귀포시,동홍동,서귀포시 동홍동,41,0,23,4,4,0,8.9,247,5.1
서귀포시,안덕면,서귀포시 안덕면,38,2,31,5,6,-1,13.6,264,3.3
서귀포시,표선면,서귀포시 표선면,38,0,8,4,1,3,2.6,259,3.2
