번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,상세영업상태변경일자,소재지전체주소,도로명전체주소,사업장명,업태구분명,객실수
1,농어촌민박업,03_11_00_P,6500000,SAMPLE-00001,20160428,3,폐업,01,폐업,20190815,20190815,제주특별자치도 제주시 조천읍 25,제주특별자치도 제주시 표본로 95,[샘플]조천읍숙소0001,,8
2,관광숙박업,03_11_00_P,6500000,SAMPLE-00002,20191023,1,영업/정상,01,영업/정상,,20191023,제주특별자치도 제주시 일도이동 457,제주특별자치도 제주시 표본로 209,[샘플]일도이동숙소0002,,12
3,농어촌민박업,03_11_00_P,6500000,SAMPLE-00003,20231016,1,영업/정상,01,영업/정상,,20231016,제주특별자치도 제주시 연동 565,제주특별자치도 제주시 표본로 254,[샘플]연동숙소0003,,3
4,농어촌민박업,03_11_00_P,6500000,SAMPLE-00004,20260520,1,영업/정상,01,영업/정상,,20260520,제주특별자치도 서귀포시 대륜동 1721,제주특별자치도 서귀포시 표본로 187,[샘플]대륜동숙소0004,,5
5,농어촌민박업,03_11_00_P,6500000,SAMPLE-00005,20260602,1,영업/정상,01,영업/정상,,20260602,제주특별자치도 서귀포시 중문동 701,제주특별자치도 서귀포시 표본로 175,[샘플]중문동숙소0005,,6
6,농어촌민박업,03_11_00_P,6500000,SAMPLE-00006,20161221,3,폐업,01,폐업,20171120,20171120,제주특별자치도 제주시 조천읍 951,제주특별자치도 제주시 표본로 163,[샘플]조천읍숙소0006,,9
7,숙박업,03_11_00_P,6500000,SAMPLE-00007,20220805,1,영업/정상,01,영업/정상,,20220805,제주특별자치도 서귀포시 남원읍 1258,제주특별자치도 서귀포시 표본로 285,[샘플]남원읍숙소0007,,9
8,농어촌민박업,03_11_00_P,6500000,SAMPLE-00008,20180723,3,폐업,01,폐업,20210211,20210211,제주특별자치도 서귀포시 서홍동 95,제주특별자치도 서귀포시 표본로 249,[샘플]서홍동숙소0008,,4
9,숙박업,03_11_00_P,6500000,SAMPLE-00009,20200117,3,폐업,01,폐업,20211122,20211122,제주특별자치도 제주시 노형동 1297,제주특별자치도 제주시 표본로 290,[샘플]노형동숙소0009,,10
10,농어촌민박업,03_11_00_P,6500000,SAMPLE-00010,20241201,1,영업/정상,01,영업/정상,,20241201,제주특별자치도 서귀포시 남원읍 272,제주특별자치도 서귀포시 표본로 106,[샘플]남원읍숙소0010,,1
11,농어촌민박업,03_11_00_P,6500000,SAMPLE-00011,20210528,3,폐업,01,폐업,20250128,20250128,제주특별자치도 제주시 한경면 1540,제주특별자치도 제주시 표본로 13,[샘플]한경면숙소0011,,9
12,농어촌민박업,03_11_00_P,6500000,SAMPLE-00012,20250103,1,영업/정상,01,영업/정상,,20250103,제주특별자치도 제주시 한림읍 1911,제주특별자치도 제주시 표본로 216,[샘플]한림읍숙소0012,,11
13,농어촌민박업,03_11_00_P,6500000,SAMPLE-00013,20121030,3,폐업,01,폐업,20180305,20180305,제주특별자치도 제주시 연동 1165,제주특별자치도 제주시 표본로 177,[샘플]연동숙소0013,,10
14,관광숙박업,03_11_00_P,6500000,SAMPLE-00014,20250816,1,영업/정상,01,영업/정상,,20250816,제주특별자치도 제주시 한림읍 1158,제주특별자치도 제주시 표본로 288,[샘플]한림읍숙소0014,,6
15,농어촌민박업,03_11_00_P,6500000,SAMPLE-00015,20230509,1,영업/정상,01,영업/정상,,20230509,제주특별자치도 제주시 한경면 237,제주특별자치도 제주시 표본로 155,[샘플]한경면숙소0015,,11
16,숙박업,03_11_00_P,6500000,SAMPLE-00016,20150311,1,영업/정상,01,영업/정상,,20150311,제주특별자치도 제주시 한림읍 432,제주특별자치도 제주시 표본로 208,[샘플]한림읍숙소0016,,5
17,숙박업,03_11_00_P,6500000,SAMPLE-00017,20220407,1,영업/정상,01,영업/정상,,20220407,제주특별자치도 제주시 한경면 36,제주특별자치도 제주시 표본로 201,[샘플]한경면숙소0017,,6
18,농어촌민박업,03_11_00_P,6500000,SAMPLE-00018,20130128,1,영업/정상,01,영업/정상,,20130128,제주특별자치도 서귀포시 성산읍 1561,제주특별자치도 서귀포시 표본로 279,[샘플]성산읍숙소0018,,2
19,농어촌민박업,03_11_00_P,6500000,SAMPLE-00019,20170628,1,영업/정상,01,영업/정상,,20170628,제주특별자치도 서귀포시 대륜동 939,제주특별자치도 서귀포시 표본로 203,[샘플]대륜동숙소0019,,3
20,관광숙박업,03_11_00_P,6500000,SAMPLE-00020,20151218,1,영업/정상,01,영업/정상,,20151218,제주특별자치도 제주시 구좌읍 1810,제주특별자치도 제주시 표본로 135,[샘플]구좌읍숙소0020,,11
21,숙박업,03_11_00_P,6500000,SAMPLE-00021,20190523,1,영업/정상,01,영업/정상,,20190523,제주특별자치도 제주시 노형동 379,제주특별자치도 제주시 표본로 284,[샘플]노형동숙소0021,,1
22,농어촌민박업,03_11_00_P,6500000,SAMPLE-00022,20230921,1,영업/정상,01,영업/정상,,20230921,제주특별자치도 제주시 이도이동 1107,제주특별자치도 제주시 표본로 291,[샘플]이도이동숙소0022,,11
23,농어촌민박업,03_11_00_P,6500000,SAMPLE-00023,20251109,1,영업/정상,01,영업/정상,,20251109,제주특별자치도 서귀포시 표선면 953,제주특별자치도 서귀포시 표본로 221,[샘플]표선면숙소0023,,5
24,농어촌민박업,03_11_00_P,6500000,SAMPLE-00024,20221023,1,영업/정상,01,영업/정상,,20221023,제주특별자치도 서귀포시 표선면 1228,제주특별자치도 서귀포시 표본로 47,[샘플]표선면숙소0024,,3
25,농어촌민박업,03_11_00_P,6500000,SAMPLE-00025,20220228,3,폐업,01,폐업,20250325,20250325,제주특별자치도 제주시 조천읍 305,제주특별자치도 제주시 표본로 265,[샘플]조천읍숙소0025,,6
26,농어촌민박업,03_11_00_P,6500000,SAMPLE-00026,20220327,1,영업/정상,01,영업/정상,,20220327,제주특별자치도 서귀포시 안덕면 1175,제주특별자치도 서귀포시 표본로 99,[샘플]안덕면숙소0026,,4
27,농어촌민박업,03_11_00_P,6500000,SAMPLE-00027,20220531,1,영업/정상,01,영업/정상,,20220531,제주특별자치도 서귀포시 성산읍 1867,제주특별자치도 서귀포시 표본로 234,[샘플]성산읍숙소0027,,2
28,농어촌민박업,03_11_00_P,6500000,SAMPLE-00028,20190609,1,영업/정상,01,영업/정상,,20190609,제주특별자치도 제주시 삼양동 708,제주특별자치도 제주시 표본로 14,[샘플]삼양동숙소0028,,9
29,농어촌민박업,03_11_00_P,6500000,SAMPLE-00029,20200611,1,영업/정상,01,영업/정상,,20200611,제주특별자치도 서귀포시 대륜동 14,제주특별자치도 서귀포시 표본로 237,[샘플]대륜동숙소0029,,1
30,농어촌민박업,03_11_00_P,6500000,SAMPLE-00030,20170207,1,영업/정상,01,영업/정상,,20170207,제주특별자치도 제주시 이도이동 413,제주특별자치도 제주시 표본로 181,[샘플]이도이동숙소0030,,2
31,농어촌민박업,03_11_00_P,6500000,SAMPLE-00031,20210413,1,영업/정상,01,영업/정상,,20210413,제주특별자치도 제주시 한림읍 1415,제주특별자치도 제주시 표본로 170,[샘플]한림읍숙소0031,,10
32,숙박업,03_11_00_P,6500000,SAMPLE-00032,20180211,1,영업/정상,01,영업/정상,,20180211,제주특별자치도 제주시 애월읍 213,제주특별자치도 제주시 표본로 202,[샘플]애월읍숙소0032,,12
33,숙박업,03_11_00_P,6500000,SAMPLE-00033,20190210,3,폐업,01,폐업,20260507,20260507,제주특별자치도 제주시 삼양동 688,제주특별자치도 제주시 표본로 268,[샘플]삼양동숙소0033,,7
